task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+2_22,Counting,+2,22,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,503.22
Counting_+2_23,Counting,+2,23,Unknown,,0.0,False,False,Orientation of objects,,False,+2,+2,True,False,0.67,False,511.33
Counting_+2_24,Counting,+2,24,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,False,0.67,False,520.6
Counting_+2_25,Counting,+2,25,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-2,+2,False,True,1.0,False,525.93
Counting_+2_26,Counting,+2,26,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,False,0.67,False,535.92
Counting_+2_27,Counting,+2,27,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,541.69
Counting_+2_28,Counting,+2,28,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-1,+2,False,False,1.0,False,548.75
Counting_+2_29,Counting,+2,29,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,True,0.67,False,556.58
Counting_+2_30,Counting,+2,30,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,567.86
Counting_+2_31,Counting,+2,31,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,573.91
Counting_+2_32,Counting,+2,32,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,True,1.0,False,575.53
Counting_+2_33,Counting,+2,33,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,588.37
Counting_+2_34,Counting,+2,34,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,True,0.67,False,590.87
Counting_+2_35,Counting,+2,35,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,True,0.67,False,598.42
Counting_+2_36,Counting,+2,36,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,606.85
Counting_+2_37,Counting,+2,37,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,616.55
Counting_+2_38,Counting,+2,38,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,622.25
Counting_+2_39,Counting,+2,39,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,627.58
Counting_+2_40,Counting,+2,40,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,False,0.67,False,634.47
Counting_+2_41,Counting,+2,41,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,646.05
Counting_+2_42,Counting,+2,42,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,False,0.67,False,654.51
Counting_+2_43,Counting,+2,43,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,661.46
Counting_+2_44,Counting,+2,44,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,672.05
Counting_+2_45,Counting,+2,45,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,676.61
Counting_+2_46,Counting,+2,46,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,687.4
Counting_+2_47,Counting,+2,47,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,693.34
Counting_+2_48,Counting,+2,48,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,697.53
Counting_+2_49,Counting,+2,49,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+1,+2,False,False,0.67,False,702.95
Counting_-1_0,Counting,-1,0,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,712.26
Counting_-1_1,Counting,-1,1,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,713.75
Counting_-1_2,Counting,-1,2,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,1.0,True,728.75
Counting_-1_3,Counting,-1,3,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,734.51
Counting_-1_4,Counting,-1,4,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,742.55
Counting_-1_5,Counting,-1,5,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,False,0.67,False,747.88
Counting_-1_6,Counting,-1,6,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,1.0,True,757.86
Counting_-1_7,Counting,-1,7,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,764.96
Counting_-1_8,Counting,-1,8,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,+1,-1,False,True,0.67,False,768.44
Counting_-1_9,Counting,-1,9,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,775.75
Counting_-1_10,Counting,-1,10,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,False,0.67,False,783.06
Counting_-1_11,Counting,-1,11,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,791.78
Counting_-1_12,Counting,-1,12,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,801.69
Counting_-1_13,Counting,-1,13,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,810.7
Counting_-1_14,Counting,-1,14,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,814.26
Counting_-1_15,Counting,-1,15,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,822.96
Counting_-1_16,Counting,-1,16,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,832.37
Counting_-1_17,Counting,-1,17,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,837.62
Counting_-1_18,Counting,-1,18,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,840.3
Counting_-1_19,Counting,-1,19,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,851.75
Counting_-1_20,Counting,-1,20,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,True,0.67,False,859.44
Counting_-1_21,Counting,-1,21,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,False,1.0,False,866.41
Counting_-1_22,Counting,-1,22,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,870.2
Counting_-1_23,Counting,-1,23,Counting,-2,1.0,True,False,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,877.8
Counting_-1_24,Counting,-1,24,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,891.09
Counting_-1_26,Counting,-1,26,Counting,-2,1.0,True,False,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,895.54
Counting_-1_25,Counting,-1,25,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,901.1
Counting_-1_27,Counting,-1,27,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,905.96
Counting_-1_28,Counting,-1,28,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,909.41
Counting_-1_29,Counting,-1,29,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,915.85
Counting_-1_30,Counting,-1,30,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,925.21
Counting_-1_31,Counting,-1,31,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,932.6
Counting_-1_32,Counting,-1,32,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,939.77
Counting_-1_33,Counting,-1,33,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,949.36
Counting_-1_34,Counting,-1,34,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,1.0,True,954.86
Counting_-1_35,Counting,-1,35,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,967.09
Counting_-1_36,Counting,-1,36,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,977.29
Counting_-1_37,Counting,-1,37,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,1.0,False,981.18
Counting_-1_38,Counting,-1,38,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,False,0.67,False,986.62
Counting_-1_39,Counting,-1,39,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,991.76
Counting_-1_40,Counting,-1,40,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,1005.13
Counting_-1_41,Counting,-1,41,Counting,-1,1.0,True,True,Color of objects,Number of objects,False,-1,-1,True,True,1.0,False,1011.38
Counting_-1_42,Counting,-1,42,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,1.0,True,1022.92
Counting_-1_43,Counting,-1,43,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,False,1.0,False,1030.25
Counting_-1_44,Counting,-1,44,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,1034.07
Counting_-1_45,Counting,-1,45,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,True,1.0,True,1039.25
Counting_-1_46,Counting,-1,46,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-2,-1,False,True,0.67,False,1047.76
Counting_-1_47,Counting,-1,47,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,1056.87
Counting_-1_48,Counting,-1,48,Counting,-1,1.0,True,True,Number of objects,Number of objects,True,-1,-1,True,False,0.67,False,1066.54
Counting_-1_49,Counting,-1,49,Counting,-2,1.0,True,False,Number of objects,Number of objects,True,-1,-2,False,False,1.0,False,1071.83
Counting_-2_0,Counting,-2,0,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,1.0,False,1081.13
Counting_-2_1,Counting,-2,1,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,0.67,False,1085.69
Counting_-2_2,Counting,-2,2,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,0.67,False,1091.69
Counting_-2_3,Counting,-2,3,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1098.87
Counting_-2_4,Counting,-2,4,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1109.29
Counting_-2_5,Counting,-2,5,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1113.89
Counting_-2_6,Counting,-2,6,Counting,-1,1.0,True,False,Number of objects,Number of objects,True,-1,-1,True,True,0.67,True,1119.03
Counting_-2_7,Counting,-2,7,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,0.67,False,1129.67
Counting_-2_8,Counting,-2,8,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,1.0,False,1133.66
Counting_-2_10,Counting,-2,10,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1144.75
Counting_-2_9,Counting,-2,9,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1155.42
Counting_-2_11,Counting,-2,11,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1159.08
Counting_-2_12,Counting,-2,12,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,+1,-2,False,True,0.67,False,1160.55
Counting_-2_13,Counting,-2,13,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1167.09
Counting_-2_14,Counting,-2,14,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1172.23
Counting_-2_15,Counting,-2,15,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,0.67,False,1183.57
Counting_-2_16,Counting,-2,16,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1186.95
Counting_-2_17,Counting,-2,17,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1197.58
Counting_-2_18,Counting,-2,18,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,1.0,False,1211.03
Counting_-2_19,Counting,-2,19,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1222.26
Counting_-2_20,Counting,-2,20,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1226.1
Counting_-2_21,Counting,-2,21,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,1.0,False,1231.09
Counting_-2_23,Counting,-2,23,Unknown,,0.0,False,False,Orientation of objects,,False,-2,-2,True,True,0.67,False,1236.14
Counting_-2_22,Counting,-2,22,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,1.0,False,1239.93
Counting_-2_24,Counting,-2,24,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1251.27
Counting_-2_25,Counting,-2,25,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,False,0.67,False,1258.06
Counting_-2_26,Counting,-2,26,Unknown,,0.0,False,False,Number of objects,,False,-2,-2,True,False,0.67,False,1260.22
Counting_-2_27,Counting,-2,27,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,1.0,False,1274.6
Counting_-2_28,Counting,-2,28,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1281.35
Counting_-2_29,Counting,-2,29,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1284.08
Counting_-2_30,Counting,-2,30,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,1.0,False,1291.22
Counting_-2_31,Counting,-2,31,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1301.24
Counting_-2_32,Counting,-2,32,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,+2,-2,False,True,0.67,False,1308.81
Counting_-2_33,Counting,-2,33,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1311.19
Counting_-2_34,Counting,-2,34,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1323.93
Counting_-2_35,Counting,-2,35,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1327.14
Counting_-2_36,Counting,-2,36,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1334.35
Counting_-2_37,Counting,-2,37,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1340.73
Counting_-2_38,Counting,-2,38,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1351.84
Counting_-2_39,Counting,-2,39,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,+1,-2,False,True,0.67,False,1360.25
Counting_-2_40,Counting,-2,40,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1367.12
Counting_-2_41,Counting,-2,41,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1375.64
Counting_-2_42,Counting,-2,42,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1380.23
Counting_-2_43,Counting,-2,43,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-1,-2,False,True,0.67,False,1384.9
Counting_-2_44,Counting,-2,44,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1392.11
Counting_-2_45,Counting,-2,45,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1394.65
Counting_-2_46,Counting,-2,46,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,1.0,True,1416.92
Counting_-2_47,Counting,-2,47,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,True,0.67,True,1423.01
Counting_-2_48,Counting,-2,48,Unknown,,0.0,False,False,Orientation of objects,,False,-2,-2,True,False,0.67,False,1432.57
Counting_-2_49,Counting,-2,49,Counting,-2,1.0,True,True,Number of objects,Number of objects,True,-2,-2,True,False,0.67,False,1443.85
Resize_0.5XY_0,Resize,0.5XY,0,Resize,0.5XY,1.0,True,True,Size of objects,Size of objects,True,0.5XY,0.5XY,True,False,1.0,False,1449.81
Resize_0.5XY_2,Resize,0.5XY,2,Resize,0.5XY,1.0,True,True,Size of objects,Size of objects,True,0.5XY,0.5XY,True,False,0.67,False,1461.12
Resize_0.5XY_1,Resize,0.5XY,1,Resize,0.5XY,1.0,True,True,Size of objects,Size of objects,True,0.5XY,0.5XY,True,True,1.0,True,1467.49
Resize_0.5XY_3,Resize,0.5XY,3,Resize,0.5XY,1.0,True,True,Size of objects,Size of objects,True,0.5XY,0.5XY,True,True,1.0,True,1473.01
